sensor,u_B_azimuth_deg,bias_x_mm,bias_y_mm,bias_z_mm
lidar_SW,-121.2236,53.9720,272.6889,168.5362
lidar_SW,-123.5250,184.2996,141.8815,115.3190
lidar_SW,-125.0086,57.4536,305.2696,40.1378
lidar_SW,-125.2091,159.3972,-12.8383,214.1715
lidar_SW,-123.6110,118.2682,231.8429,-14.8261
lidar_SW,-119.8082,-66.1081,364.6747,5.8763
lidar_SW,-113.8207,78.3848,92.3891,161.2132
lidar_SW,-106.5512,163.7244,381.4448,-30.9126
lidar_SW,-100.9817,-11.5262,213.3129,-58.9081
lidar_SW,-107.9469,109.8999,93.8210,98.0420
lidar_SW,-151.1162,217.5571,31.6868,160.1755
lidar_SW,-172.6747,320.0881,87.1669,-23.0417
lidar_SW,-169.4682,130.3224,-99.2612,58.1631
lidar_SW,-161.0565,276.1150,24.1355,91.3856
lidar_SW,-152.6585,115.3518,2.2917,156.1181
lidar_SW,-145.9919,367.9355,-189.9602,-49.1139
lidar_SW,-141.6204,139.6938,-12.3895,56.1032
lidar_SW,-139.5859,-31.3173,78.1394,-37.1880
lidar_SW,-139.6935,151.7475,25.0254,-77.3517
lidar_SW,-141.6253,23.3214,-3.5201,118.7730
lidar_SW,-144.8755,102.0970,161.9349,-29.7687
lidar_SW,-148.5577,224.4107,18.5926,90.9084
lidar_SW,-151.2022,323.9567,84.1260,-90.0170
lidar_SW,-150.6121,116.3392,91.8183,63.8679
lidar_SW,-144.2010,208.9717,199.8618,180.1962
